,library_size,detected_genes,noninteger_entries
TCGA-BH-A0AY-11A,48563044.0,31405,0
TCGA-A7-A0DC-11A,48598021.0,32453,0
TCGA-LL-A5YL-01A,48789646.0,30282,0
TCGA-AN-A0FD-01A,48815051.0,29913,0
TCGA-A1-A0SF-01A,48818918.0,32633,0
TCGA-BH-A0BC-11A,48850974.0,31059,0
TCGA-BH-A0H5-11A,48959653.0,38580,0
TCGA-A7-A6VW-01A,48965890.0,32418,0
TCGA-GM-A5PV-01A,48977530.0,30605,0
TCGA-E2-A15K-01A,48990611.0,31879,0
TCGA-BH-A0AU-11A,48991566.0,35301,0
TCGA-E2-A14R-01A,49002274.0,30922,0
TCGA-BH-A0AZ-01A,49048163.0,30647,0
TCGA-D8-A1X5-01A,49130203.0,31473,0
TCGA-C8-A133-01A,49138448.0,25949,0
TCGA-BH-A8FZ-01A,49144799.0,34263,0
TCGA-PE-A5DC-01A,49202920.0,33218,0
TCGA-E2-A573-01A,49222140.0,32981,0
TCGA-C8-A12W-01A,49235624.0,30024,0
TCGA-A8-A09W-01A,49273932.0,28807,0
TCGA-BH-A0C3-01A,49360538.0,33053,0
TCGA-LL-A8F5-01A,49371462.0,32771,0
TCGA-D8-A145-01A,49379358.0,33573,0
TCGA-AC-A62Y-01A,49392848.0,31708,0
TCGA-BH-A0HA-01A,49411360.0,30810,0
TCGA-LD-A7W6-01A,49423851.0,34776,0
TCGA-OK-A5Q2-01A,49447291.0,33718,0
TCGA-BH-A0E0-11A,49503688.0,29331,0
TCGA-E2-A1L7-11A,49513738.0,34087,0
TCGA-AO-A0JC-01A,49524254.0,34856,0
TCGA-BH-A0H9-01A,49543060.0,30138,0
TCGA-BH-A0BT-11A,49543886.0,33532,0
TCGA-A2-A0EU-01A,49547490.0,31647,0
TCGA-BH-A18L-11A,49581015.0,33260,0
TCGA-AR-A2LE-01A,49628528.0,32199,0
TCGA-AR-A2LQ-01A,49642303.0,32377,0
TCGA-BH-A0H6-01A,49654869.0,31587,0
TCGA-GM-A2DK-01A,49687393.0,31804,0
TCGA-E2-A15I-11A,49708517.0,31883,0
TCGA-BH-A0BW-11A,49727818.0,37820,0
TCGA-BH-A0GZ-01A,49736297.0,31562,0
TCGA-AR-A0TT-01A,49869255.0,32549,0
TCGA-C8-A135-01A,49970565.0,31190,0
TCGA-AC-A6NO-01A,49978904.0,34821,0
TCGA-E2-A1LB-11A,49989427.0,33188,0
TCGA-A7-A6VX-01A,50037483.0,34421,0
TCGA-C8-A12V-01A,50055578.0,32209,0
TCGA-D8-A1XA-01A,50063541.0,32056,0
TCGA-E9-A1R4-01A,50077273.0,33222,0
TCGA-A7-A13F-11A,50103043.0,33099,0
TCGA-BH-A0BJ-11A,50122647.0,32783,0
TCGA-E2-A1LB-01A,50137227.0,29671,0
TCGA-E2-A1LA-01A,50177009.0,31614,0
TCGA-B6-A0RN-01A,50223148.0,31113,0
TCGA-BH-A0BR-01A,50251423.0,30665,0
TCGA-A2-A0D1-01A,50285814.0,31867,0
TCGA-A8-A090-01A,50295904.0,30023,0
TCGA-A2-A0YJ-01A,50427050.0,29603,0
TCGA-AO-A12D-01A,50454989.0,32166,0
TCGA-A2-A0EX-01A,50589874.0,29878,0
TCGA-AR-A0U0-01A,50598679.0,30210,0
TCGA-A2-A0CO-01A,50632123.0,34200,0
TCGA-E9-A1NF-11A,50665498.0,31747,0
